"","PC1","PC2","PC3","PC4","PC5","PC6","Species","Outer_volume","log_Outer_volume"
"36",0.719071822106079,0.447437078772056,0.201147866535556,-0.360570196740255,0.209339673954527,0.0515105904412315,"Agelaius_phoeniceus",567.04,6.34219183877681
"37",0.720023164704785,0.441100738199399,0.198443399064058,-0.365768894382007,0.209177673587957,0.0515355924882073,"Agelaius_phoeniceus",652.79,6.48278619897583
"38",0.720340574754335,0.43898665419026,0.197541068867445,-0.367503410294899,0.209123623086644,0.0515439342790408,"Agelaius_phoeniceus",681.4,6.52561599617747
"39",0.420143037241497,0.486432381551309,-0.511478359671542,-0.187309066579143,-0.515904106691634,0.399611463660743,"Agelaius_tricolor",1273.38,7.15021506481293
"40",-1.93113279562707,-2.66375396684978,1.86906140862398,2.17162286560021,-1.14754950642971,1.04254661338911,"Agelaius_xanthomus",296.43,5.69517890318203
"50",-0.0351787322264138,0.475924353608825,-0.601175558451635,-0.0577082837551692,-0.358267031544347,0.363937920388423,"Aimophila_ruficeps",336.33,5.82106167970755
"54",-0.286968306115673,0.57463908108113,-1.34300347453267,0.13482861463576,-1.14633614243643,1.11078204161056,"Alaemon_alaudipes",662.2,6.49707660382109
"55",1.37596379030959,0.577201815074184,0.387020688919226,-0.447022053902394,-0.039380270694439,-0.140754515198914,"Alauda_arvensis",322.52,5.77926093583211
"58",0.934627260015486,0.626517191032857,-0.190514911314519,-0.234443862801659,-0.524079752175119,0.100352218484399,"Alaudala_rufescens",105.37,4.66692358226357
"66",-0.164806390712796,0.290978103626668,0.111395696951358,-0.241460758175276,0.728957208142209,0.214972810611663,"Ammospiza_caudacuta",219.06,5.39390023644177
"69",-0.697731424577117,0.227563779090466,-0.159234816127169,-0.129675531202368,0.762470753767137,0.480389802173454,"Ammospiza_maritima",272.27,5.61046031742483
"70",0.8088690613314,0.472334870960317,0.313681296124488,-0.374352527538677,0.279938028508086,-0.00128647354125119,"Ammospiza_nelsoni",205.74,5.33146196514034
"72",0.294671532460566,0.561648694076223,-0.658425253640716,-0.0769096285672798,-0.671652778589788,0.440073001902849,"Amphispiza_bilineata",424.95,6.05432196848885
"74",0.0210200942888401,0.550844408556158,-0.853672993014484,0.00363447558193891,-0.738390714321255,0.590414527092329,"Amphispiza_quinquestriata",347.65,5.85406855366702
"76",-1.45133682833748,0.276321300975245,-1.27945416158291,0.278931518862501,-0.334200900738199,-0.329040896378624,"Andropadus_importunus",314.24,5.75333425348545
"79",-1.3255612959265,0.261551212498376,-1.1886737704781,0.27179037147239,-0.380836083591692,-1.32849984506879,"Anthochaera_phrygia",299.94,5.70691090933073
"87",1.86279456130067,-1.43664581962504,0.691489007449199,1.91150965717598,0.652810202618946,0.14340361414068,"Anthus_petrosus",360.97,5.89156133546344
