"","HBW_names","Tree_names","HBW_species_common_name","HBW_family","HBW_family_common_name","Data_source","Literature_Museum","Outer_volume..cm3","Inner_volume..cm3","Outer_volume_full..cm3","External_diameter..cm","Thickness..cm","External_height..cm","Internal_diameter..cm","Internal_height..cm","Body_mass..g","Migration_status","Migration_coded","Clutch_size","Nestling_period..days","Nest_builder_identity","Loc_vegetation","Loc_ground","Loc_rock","Loc_cavity_obligatory","Mean_nest_height..m","Range_midpoint_latitude","N_S","Insularity","Insularity_2","Mean_temperature","Mean_rainfall"
"40","Agelaius_xanthomus","Agelaius_xanthomus","Yellow-shouldered Blackbird","Icteridae","New World blackbirds","NBO","L","296.43","102.07","398.5","8.1","1.1000000000000001","11.6","5.9","5.6",38.4,"Not a Migrant",0,2.5,"14.5","Female",1,0,1,0,"10",18.04,"N",1,1,25.64,109.3
"41","Agelasticus_cyanopus","Agelasticus_cyanopus","Unicolored Blackbird","Icteridae","New World blackbirds","HBW","L","NA","NA","359.39","8.5","NA","9.5","NA","NA",37.21,"Full Migrant",1,3,"11","NA",1,0,0,0,"1.2",-21.74,"S",0,0,22.85,119.06
"42","Agelasticus_thilius","Agelasticus_thilius","Yellow-winged Blackbird","Icteridae","New World blackbirds","HBW","L","NA","NA","307.48","9","NA","7.25","NA","NA",31.5,"Full Migrant",1,3,"11","Female",1,0,0,0,"1",-35.2,"S",0,0,16.65,64.6
"43","Agelasticus_xanthophthalmus","Agelasticus_xanthophthalmus","Pale-eyed Blackbird","Icteridae","New World blackbirds","HBW","L","NA","NA","NA","7","NA","NA","NA","NA",45.1,"Not a Migrant",0,2,"NA","NA",1,0,0,0,"0.45",-12.75,"S",0,0,25.05,201.11
"44","Agricola_infuscatus","Bradornis_infuscatus","Chat-flycatcher","Muscicapidae","Old World flycatchers and chats","HBW","L","NA","102.64","NA","NA","NA","NA","6.6","4.5",32.4,"Not a Migrant",0,2.5,"12.5","NA",1,0,0,0,"1.5",-25.62,"S",0,0,22.07,21.6
"45","Agricola_pallidus","Bradornis_pallidus","Pale Flycatcher","Muscicapidae","Old World flycatchers and chats","HBW","L","NA","82.94","NA","NA","NA","NA","6","4.4000000000000004",23.6,"Not a Migrant",0,3,"17","NA",1,0,0,0,"3.25",-9.88,"S",0,0,23.6,86.32
"46","Agriornis_micropterus","Agriornis_micropterus","Grey-bellied Shrike-tyrant","Tyrannidae","Tyrant-flycatchers","HBW","L","893.01","270.58999999999997","1163.5999999999999","15.5","3.38","9.25","8.75","6.75",67.79,"Full Migrant",1,3.5,"NA","NA",1,0,0,0,"1",-43.76,"S",0,0,11.89,21.76
"47","Agriornis_montanus","Agriornis_montanus","Black-billed Shrike-tyrant","Tyrannidae","Tyrant-flycatchers","HBW","L","NA","NA","1060.29","15","NA","9","NA","4",63.3,"Full Migrant",1,2.5,"NA","NA",1,1,1,0,"0",-32.74,"S",0,0,12.29,32.3
"48","Agriornis_murinus","Agriornis_murinus","Lesser Shrike-tyrant","Tyrannidae","Tyrant-flycatchers","HBW","L","463.29","132.54","595.82000000000005","12.75","2.63","7","7.5","4.5",29.9,"Full Migrant",1,3,"NA","NA",1,0,0,0,"0.4",-41.47,"S",0,0,15.23,24.7
"49","Ailuroedus_crassirostris","Ailuroedus_crassirostris","Green Catbird","Ptilonorhynchidae","Bowerbirds","Tring","M","784.02","279.11","1063.1199999999999","16.04","2.65","7.9","10.74","4.62",205.32,"Not a Migrant",0,2,"21","NA",1,0,0,0,"10",-29.47,"S",0,0,18.77,81.72
"50","Aimophila_ruficeps","Aimophila_ruficeps","Rufous-crowned Sparrow","Passerellidae","New World sparrows","BNA","L","336.33","76.55","412.88","11.1","2.6","6.4","5.9","4.2",18.69,"Not a Migrant",0,3.5,"8.5","Female",1,1,0,0,"0.23",28.21,"N",0,0,17.67,43
"51","Akletos_goeldii","Myrmeciza_goeldii","Goeldi's Antbird","Thamnophilidae","Typical antbirds","HBW","L","NA","NA","NA","18","NA","NA","NA","NA",42,"Not a Migrant",0,1.5,"NA","NA",0,1,0,0,"0",-10.53,"S",0,0,24.83,173.58
"52","Akletos_melanoceps","Myrmeciza_melanoceps","White-shouldered Antbird","Thamnophilidae","Typical antbirds","HBW","L","NA","424.12","NA","NA","NA","NA","9","10",38.5,"Not a Migrant",0,2,"10.5","NA",1,0,0,0,"0.9",-3.52,"S",0,0,25.8,224.53
"53","Alaemon_alaudipes","Alaemon_alaudipes","Greater Hoopoe-lark","Alaudidae","Larks","BWP","L","NA","117.81","NA","NA","NA","NA","7.5","4",43.72,"Not a Migrant",0,2,"12.5","Female",1,1,0,0,"0.3",25.55,"N",0,0,26.43,6.91
"54","Alaemon_alaudipes","Alaemon_alaudipes","Greater Hoopoe-lark","Alaudidae","Larks","Tring","M","662.2","41.68","703.88","14.13","4.6900000000000004","6.63","4.75","3.46",43.72,"Not a Migrant",0,2,"12.5","Female",1,1,0,0,"0.3",25.55,"N",0,0,26.43,6.91
"55","Alauda_arvensis","Alauda_arvensis","Eurasian Skylark","Alaudidae","Larks","Tring","M","322.52","51.32","373.84","12.57","3.62","4.51","5.33","3.36",37.31,"Full Migrant",1,4,"9","Female",0,1,0,0,"0",55.75,"N",0,0,4.59,39.99
"56","Alauda_leucoptera","Melanocorypha_leucoptera","White-winged Lark","Alaudidae","Larks","BWP","L","NA","205.25","NA","10","1.5","NA","7","8",45.3,"Full Migrant",1,4.5,"10","Female",0,1,0,0,"0",51.34,"N",0,0,8.34,26.35
"57","Alaudala_rufescens","Calandrella_rufescens","Lesser Short-toed Lark","Alaudidae","Larks","HBW","L","NA","NA","NA","NA","NA","NA","5.5","NA",24.1,"Full Migrant",1,3,"9","Female",0,1,0,0,"0",43.14,"N",0,0,10.48,22.36
"58","Alaudala_rufescens","Calandrella_rufescens","Lesser Short-toed Lark","Alaudidae","Larks","Tring","M","105.37","52.73","158.1","8.59","1.62","4.0599999999999996","5.35","3.26",24.1,"Full Migrant",1,3,"9","Female",0,1,0,0,"0",43.14,"N",0,0,10.48,22.36
"59","Alcippe_nipalensis","Alcippe_nipalensis","Nepal Fulvetta","Leiotrichidae","Laughingthrushes and allies","Tring","M","190.52","52.75","243.27","9.11","2.06","5.57","4.99","4.04",15.8,"Not a Migrant",0,3.5,"NA","Both",1,0,0,0,"0.9",24.92,"N",0,0,21.36,194.5
"60","Aleadryas_rufinucha","Aleadryas_rufinucha","Rufous-naped Bellbird","Oreoicidae","Australo-Papuan bellbirds","Tring","M","572.6","112.36","684.96","12.87","3.05","7.9","6.77","4.6900000000000004",40.5,"Not a Migrant",0,2,"NA","NA",1,0,0,0,"NA",-6.33,"S",1,0,18.32,248.13
"61","Alopochelidon_fucata","Alopochelidon_fucata","Tawny-headed Swallow","Hirundinidae","Swallows and martins","NBO","L","NA","27.72","NA","NA","NA","NA","5.5","1.75",13.96,"Full Migrant",1,4.5,"NA","Both",0,0,0,1,"1.35",-24.9,"S",0,0,22.45,117.1
"62","Amalocichla_incerta","Amalocichla_incerta","Lesser Ground-robin","Petroicidae","Australasian robins","HBW","L","NA","25.13","NA","NA","NA","NA","4","3",32.7,"Not a Migrant",0,1,"NA","NA",0,1,0,0,"0.6",-6.25,"S",1,0,19.04,251.5
"63","Amblycercus_holosericeus","Amblycercus_holosericeus","Yellow-billed Cacique","Icteridae","New World blackbirds","HBW","L","NA","NA","NA","13.5","NA","NA","NA","6.25",70.42,"Not a Migrant",0,2,"NA","NA",1,0,0,0,"1.8",16.27,"N",0,0,23.59,166.58
"64","Amblycercus_holosericeus","Amblycercus_holosericeus","Yellow-billed Cacique","Icteridae","New World blackbirds","HBW","L","NA","NA","777.22","12.5","NA","9.5","NA","NA",70.42,"Not a Migrant",0,2,"NA","NA",1,0,0,0,"1.8",16.27,"N",0,0,23.59,166.58
"65","Amblyramphus_holosericeus","Amblyramphus_holosericeus","Scarlet-headed Blackbird","Icteridae","New World blackbirds","HBW","L","NA","234.57","NA","NA","NA","NA","8","7",56.76,"Full Migrant",1,3.5,"13","Mainly Female",1,0,0,0,"1",-27.98,"S",0,0,21.72,119.4
"66","Ammospiza_caudacuta","Ammodramus_caudacutus","Saltmarsh Sparrow","Passerellidae","New World sparrows","BNA","L","219.06","55.89","274.95","8.6","1.65","7.1","5.3","3.8",19.19,"Full Migrant",1,4,"9.5","Excl_Female Care",1,1,0,0,"0.05",38.38,"N",0,0,13.88,96.81
"67","Ammospiza_leconteii","Ammodramus_leconteii","Le Conte's Sparrow","Passerellidae","New World sparrows","BNA","L","NA","56.55","NA","NA","NA","NA","6","3",13,"Full Migrant",1,4.5,"7","NA",1,1,0,0,"0.1",53.63,"N",0,0,3.83,46.92
"68","Ammospiza_leconteii","Ammodramus_leconteii","Le Conte's Sparrow","Passerellidae","New World sparrows","BNA","L","340.54","71.27","411.81","11","2.75","6.5","5.5","4.5",13,"Full Migrant",1,4.5,"7","NA",1,1,0,0,"0.1",53.63,"N",0,0,3.83,46.92
