"","Outer_volume..cm3","Mean_temperature","Mean_rainfall","Range_midpoint_latitude","Insularity","Loc_rock","HBW_names"
"371",554.45,9.95,50.95,40.62,0,0,"Emberiza_cia"
"372",445.62,12.81,58.32,42.23,0,0,"Emberiza_cirlus"
"373",432.67,12.81,58.32,42.23,0,0,"Emberiza_cirlus"
"374",449.67,5.11,44.34,57.81,0,0,"Emberiza_citrinella"
"375",443.44,5.11,44.34,57.81,0,0,"Emberiza_citrinella"
"376",139.24,22.18,64.68,-18.09,0,0,"Emberiza_flaviventris"
"381",638.02,13.66,45.08,37.8,0,0,"Emberiza_melanocephala"
"382",279.8,13.66,45.08,37.8,0,0,"Emberiza_melanocephala"
"384",73.73,-2.74,29.95,64.01,0,0,"Emberiza_pusilla"
"385",447.96,-1.35,32.87,62.29,0,0,"Emberiza_rustica"
"388",327.11,4.09,37.09,58.01,0,0,"Emberiza_schoeniclus"
"390",574.17,26.86,15.36,28.23,0,1,"Emberiza_striolata"
"394",307.08,2.26,50.91,56.26,0,0,"Empidonax_alnorum"
"395",163.84,2.26,50.91,56.26,0,0,"Empidonax_alnorum"
"396",390.11,2.26,50.91,56.26,0,0,"Empidonax_alnorum"
"399",159.2,19.23,55.97,23.87,0,0,"Empidonax_fulvifrons"
"400",161.75,4.12,44.84,54.53,0,0,"Empidonax_hammondii"
"401",53.23,4.47,53,52.7,0,0,"Empidonax_minimus"
"403",80.96,4.47,53,52.7,0,0,"Empidonax_minimus"
"404",167.72,4.47,53,52.7,0,0,"Empidonax_minimus"
"405",153.49,7.44,41.05,45.56,0,0,"Empidonax_oberholseri"
"406",167.63,10.5,62.49,43.09,0,0,"Empidonax_traillii"
"407",180.67,10.5,62.49,43.09,0,0,"Empidonax_traillii"
"408",80.42,15.87,102.47,37.08,0,0,"Empidonax_virescens"
"409",116.67,15.87,102.47,37.08,0,0,"Empidonax_virescens"
"410",190.38,9.32,26.32,39.76,0,0,"Empidonax_wrightii"
"411",303.79,9.32,26.32,39.76,0,0,"Empidonax_wrightii"
"412",356.26,9.32,26.32,39.76,0,0,"Empidonax_wrightii"
"416",168.6,18.96,62.85,-30.28,0,0,"Eopsaltria_australis"
"418",252.01,1.38,32.29,58.58,0,0,"Eremophila_alpestris"
"421",236.56,26.96,18.73,15.98,0,0,"Eremopterix_nigriceps"
"422",358.93,7.7,51.45,55.93,0,1,"Erithacus_rubecula"
"423",667.66,7.7,51.45,55.93,0,1,"Erithacus_rubecula"
"424",179.99,25.3,168.68,-9.67,0,0,"Eucometis_penicillata"
"428",912.41,0.26,42.79,59.28,0,0,"Euphagus_carolinus"
"435",257.34,21.36,42.26,-20.76,0,0,"Eurocephalus_anguitimens"
"438",219.91,17.19,56.56,-33.41,0,0,"Falcunculus_frontatus"
"447",232.01,7.53,47.16,55,0,0,"Fringilla_coelebs"
"448",242.29,7.53,47.16,55,0,0,"Fringilla_coelebs"
